bbl,address1,address2,zip,status1,status2,status3
2023787501,3055 3RD AVE,,10451,MULTIPLE DWELLING A,421-A,
2023800051,3103 3RD AVE,,10451,MULTIPLE DWELLING A,,
2026200002,3194 3RD AVE,,10451,MULTIPLE DWELLING A,GARDEN COMPLEX,
2026200006,3202 3RD AVE,,10451,MULTIPLE DWELLING A,J-51,
2023670026,3213 3RD AVE,491 E 162ND ST,10451,MULTIPLE DWELLING A,,
2023670025,3221 3RD AVE,,10451,MULTIPLE DWELLING A,GARDEN COMPLEX,
2026200022,3240-3246 3RD AVE,,10451,MULTIPLE DWELLING A,,
2023650029,871 BROOK AVE,3151-3153 3RD AVE,10451,MULTIPLE DWELLING A,,
2023650026,873 BROOK AVE,,10451,MULTIPLE DWELLING A,,
2023650025,877 BROOK AVE,,10451,MULTIPLE DWELLING A,,
2023650020,885 BROOK AVE,,10451,MULTIPLE DWELLING A,,
2023290087,477-479 COURTLANDT AVE,,10451,MULTIPLE DWELLING A,GARDEN COMPLEX,
2023290083,483-487 COURTLANDT AVE,,10451,MULTIPLE DWELLING A,GARDEN COMPLEX,
2023290082,495 COURTLANDT AVE,,10451,MULTIPLE DWELLING A,GARDEN COMPLEX,
2023290072,515 COURTLANDT AVE,,10451,MULTIPLE DWELLING A,GARDEN COMPLEX,
2023970003,578 COURTLANDT AVE,,10451,MULTIPLE DWELLING A,,
2023970005,580 COURTLANDT AVE,,10451,MULTIPLE DWELLING A,GARDEN COMPLEX,
2023970006,582 COURTLANDT AVE,,10451,MULTIPLE DWELLING A,,
2023970007,596 COURTLANDT AVE,,10451,MULTIPLE DWELLING A,,
2023970009,598 COURTLANDT AVE,,10451,MULTIPLE DWELLING A,,
2024110048,617 COURTLANDT AVE,,10451,MULTIPLE DWELLING A,,
2024110045,623-625 COURTLANDT AVE,,10451,MULTIPLE DWELLING A,,
2023980008,630 COURTLANDT AVE,,10451,MULTIPLE DWELLING A,,
2023990006,650-666 COURTLANDT AVE,,10451,MULTIPLE DWELLING A,,
2024110139,651 COURTLANDT AVE,,10451,MULTIPLE DWELLING A,,
2024110137,653 COURTLANDT AVE,,10451,MULTIPLE DWELLING A,J-51,ARTICLES 14 & 15
2024110137,655 COURTLANDT AVE,,10451,MULTIPLE DWELLING A,J-51,ARTICLE 11
2024010007,712 COURTLANDT AVE,,10451,MULTIPLE DWELLING B,,
2024040007,794 COURTLANDT AVE,,10451,MULTIPLE DWELLING A,,
2024040008,796 COURTLANDT AVE,,10451,MULTIPLE DWELLING A,,
2024077501,868-870 COURTLANDT AVE,,10451,MULTIPLE DWELLING A,421-A,
